item_id,order_id,item_name,quantity,order_date,order_time,unit_price,Total_price,item_size,item_category,item_ingredients
1,33279,Big Mac,1,2023-11-16,23:22:00,6.46,6.46,Medium,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
2,25741,Chicken Nuggets,5,2023-03-03,12:18:00,5.14,25.7,Medium,Chicken,"Chicken, Breadcrumbs, Spices"
3,30982,Egg McMuffin,4,2023-01-19,20:08:00,4.65,18.6,Large,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
4,4743,Filet-O-Fish,1,2023-03-09,22:32:00,7.51,7.51,Medium,Fish,"Fish Patty, Tartar Sauce, Cheese"
5,94384,McChicken,2,2023-05-23,08:23:00,6.28,12.56,Medium,Chicken,"Chicken Patty, Lettuce, Mayonnaise"
6,7199,Coca Cola,3,2023-05-07,18:32:00,6.25,18.75,Medium,Burger,"Carbonated Water, Sugar, Flavorings"
7,77391,Big Mac,5,2023-03-30,10:18:00,6.1,30.5,Medium,Burger,"Beef Patty, Lettuce, Cheese, Pickle, Onion, Special Sauce"
8,55159,McFlurry,3,2023-05-25,17:53:00,5.57,16.71,Large,Burger,"Ice Cream, Candy"
9,81117,Cheeseburger,3,2023-03-19,17:23:00,4.79,14.37,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
10,89770,Sundae,4,2023-03-26,12:18:00,6.18,24.72,Large,Burger,"Ice Cream, Chocolate Syrup, Nuts"
11,28172,Apple Pie,4,2023-06-26,18:10:00,4.39,17.56,Small,Burger,"Apple, Sugar, Pastry"
12,65196,Cheeseburger,3,2023-12-14,13:03:00,5.36,16.08,Large,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
13,39580,Filet-O-Fish,1,2023-11-09,11:59:00,6.73,6.73,Medium,Fish,"Fish Patty, Tartar Sauce, Cheese"
14,32110,Smoothie,1,2023-03-05,07:10:00,4.41,4.41,Medium,Burger,"Fruit Puree, Yogurt, Ice"
15,86374,Sprite,2,2023-09-27,19:55:00,6.14,12.28,Medium,Burger,"Carbonated Water, Sugar, Lemon-Lime Flavor"
16,87244,Chicken Nuggets,2,2023-09-23,16:18:00,6.35,12.7,Small,Chicken,"Chicken, Breadcrumbs, Spices"
17,97094,Egg McMuffin,2,2023-06-01,07:37:00,4.04,8.08,Medium,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
18,95350,Cheeseburger,2,2023-08-17,07:08:00,4.45,8.9,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle"
19,77293,McFlurry,4,2023-06-03,16:48:00,5.13,20.52,Medium,Burger,"Ice Cream, Candy"
20,52339,Egg McMuffin,3,2023-09-13,17:42:00,6.96,20.88,Medium,Burger,"Egg, Canadian Bacon, Cheese, English Muffin"
21,51397,Filet-O-Fish,4,2023-11-24,13:27:00,7.84,31.36,Large,Fish,"Fish Patty, Tartar Sauce, Cheese"
22,3934,McFlurry,2,2023-07-16,07:47:00,4.93,9.86,Large,Burger,"Ice Cream, Candy"
23,70230,Quarter Pounder,1,2023-08-07,19:31:00,5.74,5.74,Small,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
24,60128,Smoothie,2,2023-09-12,23:21:00,4.37,8.74,Medium,Burger,"Fruit Puree, Yogurt, Ice"
25,73123,Quarter Pounder,1,2023-01-31,07:46:00,5.44,5.44,Medium,Burger,"Beef Patty, Cheese, Ketchup, Pickle, Onion"
